epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,646.013,0.40322,0.53683,0.26851,0.90709,0.99593,0.99878,0.9942,0.75205,0.81867,0.81422,0.79321,0.29877,0.90493,1.16907,0.38858,1.41021,0.000373,0.000373,0.000373
78,654.01,0.4049,0.57297,0.28033,0.91775,0.99591,0.99759,0.99414,0.75266,0.82443,0.8219,0.79872,0.29789,0.93631,1.1753,0.39267,1.42389,0.00036475,0.00036475,0.00036475
79,662.013,0.39474,0.55218,0.27045,0.9039,0.99439,0.99656,0.99414,0.76143,0.83407,0.82886,0.81451,0.29991,0.93046,1.20146,0.3883,1.42091,0.0003565,0.0003565,0.0003565
80,670.106,0.41415,0.59614,0.28783,0.91496,0.99425,0.99596,0.99413,0.7547,0.83892,0.83649,0.81508,0.3011,0.94837,1.18359,0.40398,1.45508,0.00034825,0.00034825,0.00034825
81,678.135,0.39201,0.55045,0.26959,0.90551,0.9962,0.99708,0.99415,0.75871,0.79994,0.80004,0.76717,0.28896,0.92362,1.21397,0.39092,1.44278,0.00034,0.00034,0.00034
82,686.163,0.38759,0.53581,0.26439,0.89939,0.9954,0.99792,0.99423,0.75885,0.8311,0.83103,0.80099,0.30316,0.89558,1.21027,0.38805,1.41274,0.00033175,0.00033175,0.00033175
83,694.419,0.39739,0.54589,0.26763,0.90463,0.99317,0.99567,0.994,0.75805,0.80617,0.80618,0.77845,0.28531,0.90887,1.24009,0.39197,1.43647,0.0003235,0.0003235,0.0003235
84,702.509,0.39149,0.54601,0.26663,0.89811,0.99385,0.99733,0.99443,0.75445,0.80254,0.80293,0.76673,0.28875,0.91267,1.24826,0.39124,1.44168,0.00031525,0.00031525,0.00031525
85,710.559,0.38528,0.53831,0.26151,0.89844,0.99699,0.99689,0.99405,0.75504,0.82102,0.81996,0.78009,0.28545,0.93047,1.2209,0.39274,1.45927,0.000307,0.000307,0.000307
86,718.672,0.39613,0.5833,0.27463,0.90265,0.99667,0.99632,0.994,0.75652,0.83012,0.82668,0.79947,0.30624,0.92501,1.24371,0.38755,1.43904,0.00029875,0.00029875,0.00029875
87,726.934,0.37855,0.52963,0.26242,0.89517,0.99641,0.9958,0.99423,0.76055,0.84523,0.84082,0.81549,0.30518,0.91228,1.2041,0.38408,1.45388,0.0002905,0.0002905,0.0002905
